Tiêu đề,Link
Văn bản PL Mới,
Bổ sung trường hợp không tính chậm nộp phạt vi phạm hành chính,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thong-bao-van-ban-moi/email/47298/bo-sung-truong-hop-khong-tinh-cham-nop-phat-vi-pham-hanh-chinh
"
Hồ sơ hưởng BHXH một lần khi mắc bệnh nguy hiểm đến tính mạng,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thong-bao-van-ban-moi/email/47291/ho-so-huong-bhxh-mot-lan-khi-mac-benh-nguy-hiem-den-tinh-mang
"
Thời hạn gửi báo cáo định kỳ trong lĩnh vực thông tin truyền thông,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thong-bao-van-ban-moi/email/47277/thoi-han-gui-bao-cao-dinh-ky-trong-linh-vuc-thong-tin-truyen-thong
"
"02 lĩnh vực trọng tâm, liên ngành về theo dõi tình hình thi hành pháp luật năm 2023","http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thong-bao-van-ban-moi/email/47262/02-linh-vuc-trong-tam-lien-nganh-ve-theo-doi-tinh-hinh-thi-hanh-phap-luat-nam-2023
"
Giải đáp việc cập nhật thông tin CCCD của người đại diện theo pháp luật,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thong-bao-van-ban-moi/email/47243/giai-dap-viec-cap-nhat-thong-tin-cccd-cua-nguoi-dai-dien-theo-phap-luat
"
Chính sách Pháp Luật,
Công chức cấp xã không còn chức danh Trưởng Công an xã (Đề xuất),"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thoi-su-phap-luat/chinh-sach-moi/47328/cong-chuc-cap-xa-khong-con-chuc-danh-truong-cong-an-xa-de-xuat
"
Thủ tục yêu cầu trợ giúp pháp lý mới nhất,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thoi-su-phap-luat/chinh-sach-moi/47312/thu-tuc-yeu-cau-tro-giup-phap-ly-moi-nhat
"
12 khoản tiền của NLĐ sẽ tăng khi tăng lương cơ sở từ ngày 01/7/2023,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thoi-su-phap-luat/chinh-sach-moi/47307/12-khoan-tien-cua-nld-se-tang-khi-tang-luong-co-so-tu-ngay-01-7-2023
"
Địa điểm nộp hồ sơ quyết toán thuế TNCN với cá nhân trực tiếp quyết toán thuế năm 2023,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thoi-su-phap-luat/tu-van-phap-luat/47302/dia-diem-nop-ho-so-quyet-toan-thue-tncn-voi-ca-nhan-truc-tiep-quyet-toan-thue
"
Cơ quan đăng ký kinh doanh là cơ quan nào?,"http://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/thoi-su-phap-luat/tu-van-phap-luat/47300/co-quan-dang-ky-kinh-doanh-la-co-quan-nao
"
Pháp luật về Đầu tư: ,
"Yêu cầu thay thế những cán bộ công chức, viên chức yếu kém về năng lực, gây nhũng nhiễu trong quản lý đầu tư công?",http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/yeu-cau-thay-the-nhung-can-bo-cong-chuc-vien-chuc-yeu-kem-ve-nang-luc-gay-nhung-nhieu-trong-quan-ly-78303.html
Phương pháp đánh giá tính hợp lệ hồ sơ đề xuất chấp thuận nhà đầu tư công trình dịch vụ chuyên ngành giao thông đường bộ được quy định như thế nào?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/phuong-phap-danh-gia-tinh-hop-le-ho-so-de-xuat-chap-thuan-nha-dau-tu-cong-trinh-dich-vu-chuyen-ngan-74495.html
Thông tư 16/2023/TT-BTC: Sửa đổi quy định về quản lý vốn Nhà nước đầu tư vào doanh nghiệp như thế nào?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/thong-tu-162023ttbtc-sua-doi-quy-dinh-ve-quan-ly-von-nha-nuoc-dau-tu-vao-doanh-nghiep-nhu-the-nao-77518.html
Doanh nghiệp có được chuyển đổi một phần khu công nghiệp thành khu công nghiệp sinh thái hay không?,http://thuvienphapluat.vn/phap-luat/doanh-nghiep-co-duoc-chuyen-doi-mot-phan-khu-cong-nghiep-thanh-khu-cong-nghiep-sinh-thai-hay-khong-507107-77421.html
Bên cung cấp có phải chịu thuế nhà thầu khi mua khóa học nước ngoài trực tuyến tại Việt Nam hay không?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/ben-cung-cap-co-phai-chiu-thue-nha-thau-khi-mua-khoa-hoc-nuoc-ngoai-truc-tuyen-tai-viet-nam-hay-kho-77402.html
Nhà đầu tư khu công nghiệp sinh thái có phải danh 5 ha đất để hỗ trợ cho doanh nghiệp nhỏ và vừa trong khu công nghiệp không?,http://thuvienphapluat.vn/phap-luat/nha-dau-tu-khu-cong-nghiep-sinh-thai-co-phai-danh-5-ha-dat-de-ho-tro-cho-doanh-nghiep-nho-va-vua-tr-283671-77367.html
Triển khai gói thầu số 5.10 dự án Cảng hàng không quốc tế Long Thành? Thời gian thực hiện Gói thầu số 5.10 là bao lâu?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/trien-khai-goi-thau-so-510-du-an-cang-hang-khong-quoc-te-long-thanh-thoi-gian-thuc-hien-goi-thau-so-77938.html
Dự án đầu tư xây dựng và kinh doanh kết cấu hạ tầng khu công nghiệp sinh thái đươc miễn tiền thuê đất không?,http://thuvienphapluat.vn/phap-luat/du-an-dau-tu-xay-dung-va-kinh-doanh-ket-cau-ha-tang-khu-cong-nghiep-sinh-thai-duoc-mien-tien-thue-d-418338-77381.html
"Đề xuất sửa đổi điều kiện thành lập và mở rộng cụm công nghiệp? Hồ sơ đề nghị thành lập, mở rộng cụm công nghiệp như thế nào?",http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/de-xuat-sua-doi-dieu-kien-thanh-lap-va-mo-rong-cum-cong-nghiep-ho-so-de-nghi-thanh-lap-mo-rong-cum--77473.html
Thẩm định công nghệ đối với dây chuyền công nghệ trong dự án đầu tư dựa trên những nội dung nào theo quy định hiện nay?,http://thuvienphapluat.vn/phap-luat/tham-dinh-cong-nghe-doi-voi-day-chuyen-cong-nghe-trong-du-an-dau-tu-dua-tren-nhung-noi-dung-nao-the-75940.html
"Ai có trách nhiệm kiểm tra và báo cáo tài chính, tài sản của Hiệp hội Đầu tư xây dựng năng lượng Việt Nam cho hội viên biết?",http://thuvienphapluat.vn/phap-luat/ai-co-trach-nhiem-kiem-tra-va-bao-cao-tai-chinh-tai-san-cua-hiep-hoi-dau-tu-xay-dung-nang-luong-vie-906996-76659.html
"Quá trình thẩm định, phê duyệt báo cáo nghiên cứu khả thi điều chỉnh dự án PPP do nhà đầu tư đề xuất tại UBND tỉnh được thực hiện thế nào?",http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/qua-trinh-tham-dinh-phe-duyet-bao-cao-nghien-cuu-kha-thi-dieu-chinh-du-an-ppp-do-nha-dau-tu-de-xuat-508353-75632.html
"Lập, quản lý, thanh toán và quyết toán các dự án đầu tư xây dựng của Cơ quan Việt Nam ở nước ngoài như thế nào?",http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/lap-quan-ly-thanh-toan-va-quyet-toan-cacdu-andau-tu-xay-dung-cua-co-quan-viet-nam-o-nuoc-ngoai-nhu--76657.html
Sửa đổi trách nhiệm lập kế hoạch và tổ chức lựa chọn nhà thầu cung cấp thuốc của các cơ sở y tế công lập như thế nào?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/sua-doi-trach-nhiem-lap-ke-hoach-va-to-chuc-lua-chon-nha-thau-cung-cap-thuoc-cua-cac-co-so-y-te-con-76147.html
"Chính phủ thành lập 5 Tổ công tác kiểm tra tháo gỡ khó khăn, đẩy mạnh giải ngân vốn đầu tư công theo Nghị quyết 31?",http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/chinh-phu-thanh-lap-5-to-cong-tac-kiem-tra-thao-go-kho-khan-day-manh-giai-ngan-von-dau-tu-cong-theo-732354-75929.html
Chi phí nộp hồ sơ dự thầu mua sắm theo hiệp định đối tác toàn diện và tiến bộ xuyên Thái Bình Dương là bao nhiêu?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/chi-phi-nop-ho-so-du-thau-mua-sam-theo-hiep-dinh-doi-tac-toan-dien-va-tien-bo-xuyen-thai-binh-duong-167773-76414.html
Nguyên tắc lựa chọn phương pháp xác định tổng mức đầu tư xây dựng được đề xuất thực hiện như thế nào?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/nguyen-tac-lua-chon-phuong-phap-xac-dinh-tong-muc-dau-tu-xay-dung-duoc-de-xuat-thuc-hien-nhu-the-na-75504.html
Thẩm định và phê duyệt báo cáo nghiên cứu khả thi dự án PPP do nhà đầu tư đề xuất tại UBND cấp tỉnh như thế nào?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/tham-dinh-va-phe-duyet-bao-cao-nghien-cuu-kha-thi-du-an-ppp-do-nha-dau-tu-de-xuat-tai-ubnd-cap-tinh-75606.html
Kiểm tra hoạt động lựa chọn nhà đầu tư PPP được thực hiện khi nào? Nội dung kiểm tra gồm những gì?,http://thuvienphapluat.vn/phap-luat/thoi-su-phap-luat/kiem-tra-hoat-dong-lua-chon-nha-dau-tu-ppp-duoc-thuc-hien-khi-nao-noi-dung-kiem-tra-gom-nhung-gi-551650-75480.html
